Asset,ASSET_CLASS,FUTURES
AD1,CURNCY,AUDUSD Crncy Fut  Dec14
BA1,COMDTY,BANK ACCEPT FUTR  Mar15
BP1,CURNCY,? CURRENCY FUT    Dec14
C1,COMDTY,CORN FUTURE       Dec14
CC1,COMDTY,COCOA FUTURE      Dec14
CD1,CURNCY,C$ CURRENCY FUT   Dec14
CL1,COMDTY,WTI CRUDE FUTURE  Nov14
CO1,COMDTY,BRENT CRUDE FUTR  Nov14
CT1,COMDTY,COTTON NO.2 FUTR  Dec14
EC1,CURNCY,EURO FX CURR FUT  Dec14
ED1,COMDTY,90DAY EURO$ FUTR  Dec15
ER1,COMDTY,3MO EURO EURIBOR  Dec14
ES1,INDEX,S&P500 EMINI FUT  Dec14
FV1,COMDTY,US 5YR NOTE (CBT) Dec14
GC1,COMDTY,GOLD 100 OZ FUTR  Dec14
GX1,INDEX,DAX INDEX FUTURE  Dec14
HC1,INDEX,H-SHARES IDX FUT  Oct14
HG1,COMDTY,COPPER FUTURE     Dec14
HI1,INDEX,HANG SENG IDX FUT Oct14
HO1,COMDTY,NY Harb ULSD Fut  Nov14
IR1,COMDTY,90-DAY BANK BILL  Jun15
JB1,COMDTY,JPN 10Y BOND(OSE) Dec14
JY1,CURNCY,JPN YEN CURR FUT  Dec14
KC1,COMDTY,COFFEE 'C' FUTURE Dec14
L1,COMDTY,90DAY STERLING FU Dec14
LC1,COMDTY,LIVE CATTLE FUTR  Dec14
NG1,COMDTY,NATURAL GAS FUTR  Nov14
NK1,INDEX,NIKKEI 225  (OSE) Dec14
NQ1,INDEX,NASDAQ 100 E-MINI Dec14
PL1,COMDTY,PLATINUM FUTURE   Jan15
QS1,COMDTY,GAS OIL FUT (ICE) Nov14
RP1,CURNCY,EURO/GBP FUTURE   Dec14
RX1,COMDTY,EURO-BUND FUTURE  Dec14
RY1,CURNCY,EURO/JPY FUTURE   Dec14
S1,COMDTY,SOYBEAN FUTURE    Nov14
SB1,COMDTY,SUGAR #11 (WORLD) Mar15
SF1,CURNCY,CHF CURRENCY FUT  Dec14
SI1,COMDTY,SILVER FUTURE     Dec14
TW1,INDEX,MSCI TAIWAN INDEX Oct14
TY1,COMDTY,US 10YR NOTE (CBT)Dec14
US1,COMDTY,US LONG BOND(CBT) Dec14
W1,COMDTY,WHEAT FUTURE(CBT) Dec14
XB1,COMDTY,GASOLINE RBOB FUT Nov14
XM1,COMDTY,AUST 10Y BOND FUT Dec14
YM1,COMDTY,AUST 3YR BOND FUT Dec14
oe1,COMDTY,EURO-BOBL FUTURE  Jun15
cf1,INDEX,CAC40 10 EURO FUT Apr15
z1,INDEX,FTSE 100 IDX FUT  Jun15
g1,COMDTY,LONG GILT FUTURE  Jun15
st1,INDEX,FTSE/MIB IDX FUT  Jun15
ik1,COMDTY,Euro-BTP Future   Jun15
lh1,COMDTY,LEAN HOGS FUTURE  Jun15
ib1,INDEX,IBEX 35 INDX FUTR Apr15
oat1,COMDTY,Euro-OAT Future   Jun15
rty1,INDEX,Russell 2000 Mini Jun15
vg1,INDEX,EURO STOXX 50     Jun15
tp1,INDEX,TOPIX INDX FUTR   Jun15
ub1,COMDTY,EURO BUXL 30Y BND Jun15
xu1,INDEX,FTSE CHINA A50    Mar15
xp1,INDEX,SPI 200 FUTURES   Jun15
